Aggregation analysis,PioViewer 1.10.24.3
File, C:\Users\benit\OneDrive\Solves\BB vs BB SRP\BU vs BB SRP 33%\Bu vs BB SRP 33% 3s3h3d.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 18 Freq,BET 18 EV,CHECK Freq,CHECK EV
Ks Jd 7h,100,45.02,19.5655,79.0198,54.98,35.4344,117.179,85.95,36.51,14.05,28.87
Ks Js 7h,100,45.54,20.5184,81.9196,54.46,34.4816,115.119,69.73,37.40,30.27,27.76
Ks Js 7s,100,46.48,22.5963,88.3961,53.52,32.4037,110.077,40.75,37.43,59.25,28.95
Ks Kd 2h,100,45.36,19.186,76.9116,54.64,35.814,119.163,96.60,36.10,3.40,27.80
Ks Kd 2s,100,45.76,20.2677,80.5311,54.24,34.7323,116.425,90.98,35.39,9.02,28.10
Ks Tc 6d,100,44.58,19.1252,77.9935,55.42,35.8748,117.705,91.90,36.46,8.10,29.25
Ks Tc 6s,100,45.09,20.1905,81.4115,54.91,34.8095,115.265,73.62,37.20,26.38,28.14
Ks Td Tc,100,43.65,18.988,79.0912,56.35,36.0119,116.197,87.78,36.63,12.22,31.56
Ks Ts 6s,100,46.23,22.5788,88.8011,53.77,32.4212,109.629,41.36,36.81,58.64,29.33
Qc 2h 2c,100,46.32,21.5918,84.7621,53.68,33.4082,113.146,72.37,35.63,27.63,27.59
Qc 7s 7c,100,46.31,22.0341,86.5097,53.69,32.9658,111.636,61.51,35.77,38.49,28.49
Qc Js Jd,100,44.49,19.6485,80.3057,55.51,35.3515,115.782,85.51,36.25,14.49,30.05
Qd 7s 7c,100,45.81,21.3216,84.622,54.19,33.6784,113.001,67.21,36.11,32.79,28.69
Qd Js Jd,100,44.94,20.1476,81.5085,55.06,34.8523,115.094,79.75,36.30,20.25,29.14
Qh 9d 3s,100,45.93,20.6134,81.5933,54.07,34.3866,115.638,77.28,36.16,22.72,28.37
Qh 9h 3h,100,46.89,22.9127,88.8465,53.11,32.0873,109.847,41.48,36.47,58.52,28.98
Qh 9h 3s,100,46.40,21.688,84.9797,53.60,33.312,113.004,59.46,37.03,40.54,27.86
Qs 2h 2c,100,45.82,20.4789,81.2682,54.18,34.5211,115.839,87.67,35.50,12.33,27.55
Qs 6d 3h,100,47.19,22.1201,85.2181,52.81,32.8799,113.211,68.55,35.63,31.45,26.90
Qs 6d 3s,100,47.44,22.7036,87.0049,52.56,32.2964,111.731,58.85,35.81,41.15,27.27
Qs 6s 3s,100,47.72,23.4561,89.3691,52.28,31.5439,109.704,43.87,35.19,56.13,28.70
Tc 7h 7c,100,45.97,21.4068,84.6759,54.03,33.5932,113.035,65.28,36.52,34.72,28.08
Td 5d 2d,100,47.63,23.3058,88.9611,52.37,31.6942,110.041,49.86,35.00,50.14,28.40
Td 5h 2d,100,47.42,22.4521,86.0856,52.58,32.5479,112.549,64.94,35.78,35.06,26.55
